:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,date,latitude,location,location_address,location_city,location_state,location_zip,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
22,10935,35,31,5,BRONX,Unspecified,,,,,,2017-09-30T00:00:00.000,40.845238,POINT (-73.900894 40.845238),,,,,-73.900894,0,0,0,0,0,0,0,0,PARK AVENUE,EAST 175 STREET                 ,10:15,3760929,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,10457
51,12419,71,9,4,,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-30T00:00:00.000,40.75895,POINT (-73.96849 40.75895),,,,,-73.96849,0,0,0,0,0,0,0,0,,3 AVENUE                        ,23:30,3760852,TAXI,SPORT UTILITY / STATION WAGON,,,,
33,14787,53,66,3,QUEENS,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,37-11     57 STREET                     ,2017-09-30T00:00:00.000,40.74998,POINT (-73.9054 40.74998),,,,,-73.9054,0,0,0,0,0,0,0,0,,,18:30,3760855,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,,11377
33,14787,53,66,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.740093,POINT (-73.89986 40.740093),,,,,-73.89986,0,0,0,0,0,0,0,0,,,0:20,3759975,PASSENGER VEHICLE,,,,,
5,14783,65,73,3,QUEENS,Unspecified,Unspecified,,,,33-54     83 STREET                     ,2017-09-30T00:00:00.000,40.754738,POINT (-73.88429 40.754738),,,,,-73.88429,1,0,0,0,0,0,1,0,,,13:30,3760698,PASSENGER VEHICLE,BICYCLE,,,,11372
,,,,,MANHATTAN,Unspecified,,,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,0,0,0,1,0,1,WEST 140 STREET,LENOX AVENUE                    ,14:36,3761145,SPORT UTILITY / STATION WAGON,,,,,10037
28,24014,46,60,3,QUEENS,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-30T00:00:00.000,40.70139,POINT (-73.83153 40.70139),,,,,-73.83153,0,0,3,0,0,0,3,0,HILLSIDE AVENUE,LEFFERTS BOULEVARD              ,9:00,3761262,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11418
4,16862,39,72,3,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.77309,POINT (-73.91108 40.77309),,,,,-73.91108,0,0,0,0,0,0,0,0,,23 AVENUE                       ,13:50,3761359,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
43,11269,34,25,5,,Unspecified,,,,,,2017-09-30T00:00:00.000,40.833817,POINT (-73.886696 40.833817),,,,,-73.886696,0,0,0,0,0,0,0,0,,BRYANT AVENUE                   ,20:00,3760308,SPORT UTILITY / STATION WAGON,,,,,
20,14191,22,67,3,,Other Vehicular,Unspecified,,,,,2017-09-30T00:00:00.000,40.78419,POINT (-73.84582 40.78419),,,,,-73.84582,0,0,0,0,0,0,0,0,,COLLEGE POINT BOULEVARD         ,12:00,3760331,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
27,17617,14,50,2,,Following Too Closely,Unspecified,,,,,2017-09-30T00:00:00.000,40.670856,POINT (-73.98829 40.670856),,,,,-73.98829,0,0,1,0,0,0,1,0,,4 AVENUE                        ,7:45,3761474,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
22,,28,34,5,,Driver Inattention/Distraction,Unspecified,,,,,2017-09-30T00:00:00.000,40.860836,POINT (-73.87238 40.860836),,,,,-73.87238,0,0,0,0,0,0,0,0,,,17:00,3760514,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,,,,,QUEENS,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2017-09-30T00:00:00.000,,,,,,,,0,0,1,0,0,0,1,0,153 street,70 ROAD                         ,5:45,3760495,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,11367
47,24669,63,63,3,QUEENS,Unspecified,,,,,,2017-09-30T00:00:00.000,40.66696,POINT (-73.77078 40.66696),,,,,-73.77078,0,0,0,0,0,0,0,0,SOUTH CONDUIT AVENUE,BREWER BOULEVARD                ,10:00,3760478,SPORT UTILITY / STATION WAGON,,,,,11434
47,24018,63,63,3,QUEENS,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.66758,POINT (-73.737404 40.66758),,,,,-73.737404,0,0,0,0,0,0,0,0,BROOKVILLE BOULEVARD,FRANCIS LEWIS BOULEVARD         ,14:40,3760464,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,11422
29,11606,24,34,5,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,,2017-09-30T00:00:00.000,40.8668,POINT (-73.89582 40.8668),,,,,-73.89582,0,0,0,0,0,0,0,0,,EAST KINGSBRIDGE ROAD           ,18:15,3760501,PASSENGER VEHICLE,,,,,
12,11270,59,32,5,BRONX,Other Vehicular,,,,,990       PELHAM PARKWAY SOUTH          ,2017-09-30T00:00:00.000,40.856804,POINT (-73.86036 40.856804),,,,,-73.86036,0,0,0,0,0,0,0,0,,,11:00,3760422,PASSENGER VEHICLE,,,,,10461
41,24014,46,60,3,QUEENS,Failure to Yield Right-of-Way,Unspecified,,,,,2017-09-30T00:00:00.000,40.691643,POINT (-73.84172 40.691643),,,,,-73.84172,0,0,2,0,0,0,2,0,92 AVENUE,104 STREET                      ,14:45,3760401,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,11418
41,24013,62,64,3,QUEENS,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,,2017-09-30T00:00:00.000,40.681675,POINT (-73.8328 40.681675),,,,,-73.8328,0,0,0,0,0,0,0,0,107 AVENUE,108 STREET                      ,19:30,3761489,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,11419
