Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/18/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.645518328,6.827900961,8.083815918,6.05267925,6.470464816,6.458244172,6.405911798,6.062584395,5.356702829,5.566449359,5.892533908,6.465261532
Austria,AUT,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.221149236,8.668268311,8.542787247,7.78608678,7.366109971,7.654344101,6.925957045,6.198800402,5.687564304,5.972454038,5.796071812,4.936106381,5.141428996,5.239941484,5.254426709,5.408129892,
Austria,AUT,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,9.830963611,8.857919015,7.406493776,7.080993044,7.015985886,7.535830406,7.256589128,8.31372182,8.162097451,7.131744905,7.504645086,12.19391312,12.67461044,12.2568739,10.31880327,10.73336907,12.35490622,15.48797378,18.65706209,16.14149581,13.8051814,15.09650535,14.85543733,8.65867496,7.225292164,5.679935214,5.715356075,6.330448704,6.004431194,5.155551614,5.073364261,4.449497345,4.494408821,5.407232877,4.51751354,3.516069174,3.982740261,5.450631498,5.862881651,6.365154467,8.054246176,9.235114271,12.3032279,13.84833166,9.861117398,12.17484109,10.72101943,10.97153718,12.2575165,13.3990593,11.54733284,10.22262762,8.104400368,
Austria,AUT,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,14.47854226,13.87401409,15.16254183,14.09596687,12.76657895,11.34882936,10.23461264,9.53034458,9.612433349,9.092880731,9.589356021,8.073236593,8.239838903,7.865689671,7.891519298,7.711685682,6.94243706,6.436587233,6.61006019,6.761130014,6.617112281,6.524212509,6.36714661,6.47300113,6.041042133,5.703157746,5.475487071,5.204347464,5.178568281,5.108880999,5.41475803,5.453907469,5.696855839,6.075914753,6.492317156,6.359967709,6.305792627,5.436605667,5.795020052,6.155611057,6.141247596,5.924914215,6.089702027,5.862988948,6.277464418,6.767509518,7.861956192,7.29372877,7.054450343,7.362857676,7.686342012,7.903789654,8.010979784,
Austria,AUT,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,7.154155729,7.071014419,6.197375464,5.784662353,5.442569028,5.654206184,5.585287749,5.266064621,4.607001705,4.509649227,5.115801457,5.404691296,4.076285293,4.022604241,3.768229554,3.540228196,3.611435009,3.842586409,3.769941379,3.802990263,3.783116516,3.848305882,3.673300817,3.494285447,3.546665501,3.562486704,3.46216992,3.129466804,2.966608667,2.869865673,2.706648863,2.920311173,3.150405118,2.497502952,2.513378944,2.420199747,2.691687233,2.622822777,2.352830094,2.431157133,2.364203794,2.215168005,2.180832357,2.257661626,2.199021818,2.05054388,2.17385143,2.295973461,2.214950883,2.127927089,2.196227622,2.162821459,2.223877007,
Austria,AUT,"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,3.32,4.21,4.57,5.03,5.2,5,9.94,7.69,7.39,6.38,4.12,1.79,2.12,2.06,1.99,1.84,1.62,1.53,1.58,1.32,1.67,1.48,1.35,1.26,1.34,1.32,1.47,
Austria,AUT,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75,
Austria,AUT,"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98232,25.49622,16.93116,15.96301,17.05738,16.6389,17.45752,25.51019,37.6087,36.77582,29.85218,40.8425,25.88154,26.80114,34.38274,31.54522,23.56445,21.33408,26.23838,25.48423,22.15982,22.32976,25.77638,25.71524,27.78579,26.80639,26.38892,26.23792,
Austria,AUT,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,7,7.77,7.68,7.8,7.66,7.88,17.5,13.59,13.62,11.49,7.77,4.61,4.73,4.72,4.71,4.79,4.74,4.73,4.93,4.84,4.89,4.99,4.99,5.69,5.6,5.57,5.58,
Austria,AUT,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,6.23,7.38,7.18,7.44,6.31,6.34,12.97,9.73,9.31,7.96,6.21,2.97,3.98,2.58,2.54,2.62,2.6,2.42,2.42,2.26,2.42,2.44,2.12,2.22,2.18,2.58,2.5,
Austria,AUT,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13533,15.71462,20.69455,20.98832,20.60003,17.09331,17.62777,25.71892,30.76033,27.75367,21.33961,12.61151,6.08252,8.246401,4.836339,5.639287,5.909031,6.375638,4.975795,5.722136,5.317493,5.372413,6.383808,4.774599,4.4329,5.255677,7.86377,7.197843,
